ticker,industry,index
ZBH,Health Care Equipment & Services,DJUSMC
BAX,Health Care Equipment & Services,DJUSMC
PODD,Health Care Equipment & Services,DJUSMC
WAT,Health Care Equipment & Services,DJUSMC
LH,Health Care Equipment & Services,DJUSMC
MOH,Health Care Equipment & Services,DJUSMC
STE,Health Care Equipment & Services,DJUSMC
HOLX,Health Care Equipment & Services,DJUSMC
WST,Health Care Equipment & Services,DJUSMC
PKI,Health Care Equipment & Services,DJUSMC
ABMD,Health Care Equipment & Services,DJUSMC
DGX,Health Care Equipment & Services,DJUSMC
COO,Health Care Equipment & Services,DJUSMC
ALGN,Health Care Equipment & Services,DJUSMC
BIO,Health Care Equipment & Services,DJUSMC
TFX,Health Care Equipment & Services,DJUSMC
QGEN,Health Care Equipment & Services,DJUSMC
BRKR,Health Care Equipment & Services,DJUSMC
PEN,Health Care Equipment & Services,DJUSMC
SWAV,Health Care Equipment & Services,DJUSMC
EXAS,Health Care Equipment & Services,DJUSMC
NVCR,Health Care Equipment & Services,DJUSMC
MASI,Health Care Equipment & Services,DJUSMC
ACHC,Health Care Equipment & Services,DJUSMC
GMED,Health Care Equipment & Services,DJUSMC
INSP,Health Care Equipment & Services,DJUSMC
AGL,Health Care Equipment & Services,DJUSMC
XRAY,Health Care Equipment & Services,DJUSMC
DVA,Health Care Equipment & Services,DJUSMC
QDEL,Health Care Equipment & Services,DJUSMC
BLCO,Health Care Equipment & Services,DJUSMC
EHC,Health Care Equipment & Services,DJUSMC
OPCH,Health Care Equipment & Services,DJUSMC
NVST,Health Care Equipment & Services,DJUSMC
OSH,Health Care Equipment & Services,DJUSMC
ENSG,Health Care Equipment & Services,DJUSMC
LHCG,Health Care Equipment & Services,DJUSMC
IART,Health Care Equipment & Services,DJUSMC
STVN,Health Care Equipment & Services,DJUSMC
AZTA,Health Care Equipment & Services,DJUSMC
GH,Health Care Equipment & Services,DJUSMC
TDOC,Health Care Equipment & Services,DJUSMC
NTRA,Health Care Equipment & Services,DJUSMC
MMSI,Health Care Equipment & Services,DJUSMC
HAE,Health Care Equipment & Services,DJUSMC
ICUI,Health Care Equipment & Services,DJUSMC
NARI,Health Care Equipment & Services,DJUSMC
LNTH,Health Care Equipment & Services,DJUSMC
ONEM,Health Care Equipment & Services,DJUSMC
NEOG,Health Care Equipment & Services,DJUSMC
DNA,Health Care Equipment & Services,DJUSMC
AXNX,Health Care Equipment & Services,DJUSMC
INMD,Health Care Equipment & Services,DJUSMC
LIVN,Health Care Equipment & Services,DJUSMC
IRTC,Health Care Equipment & Services,DJUSMC
STAA,Health Care Equipment & Services,DJUSMC
CNMD,Health Care Equipment & Services,DJUSMC
PRVA,Health Care Equipment & Services,DJUSMC
AMED,Health Care Equipment & Services,DJUSMC
TNDM,Health Care Equipment & Services,DJUSMC
SHC,Health Care Equipment & Services,DJUSMC
ITGR,Health Care Equipment & Services,DJUSMC
GOOG,Internet,DJUSNS
